           0           0
           0           1
          -1           0
           0          -1
           0           2
          -2           0
           1           2
           1          -1
           1           0
           0          -2
           2          -1
           1          -2
           1          -3
           3          -1
           3          -2
          -1          -2
           2           2
           1          -4
           3           0
           3           2
           4           2
           5           2
           6           2
           6           3
           4          -1
           5          -1
           3           3
           6           4
           6           5
           7           2
           6           6
           1          -5
          -1           2
           1          -6
           5          -2
           1          -7
          -3           0
           7           6
           1          -8
          -1           3
           0          -8
           1           3
           7           7
           1          -9
          -2          -2
           5           0
          -3           1
           7           8
           7           9
           1         -10
           8           6
          -3           2
           6           9
          -3           3
          -1           4
           6          10
           1         -11
           5           9
           9           6
           2         -11
          -3          -2
           1         -12
           7          10
           6          11
           0           4
          -4           3
           1         -13
           9           5
           6          12
           3         -11
           5          12
          -3           4
           6          -2
          -1          -8
           2         -13
           6          13
           3         -13
           5          13
           2         -14
           2         -15
           0         -12
          -1          -9
           1         -15
           2         -16
          -4          -2
           0         -15
           4         -13
           7          -2
          -4          -3
           5          14
           0         -14
          -3           5
          -3           6
           5          15
           9           4
          -1         -15
           2         -17
          -1         -16
           3         -16
           9           7
          -2          -8
           2         -18
           5         -13
           5          10
           4          13
           5          16
           3           4
          -5          -2
           4          16
          -4           4
           9           8
          -2         -15
           3          16
          -1         -12
           5         -12
          -2         -16
           3         -18
           2         -19
           3         -19
          -3           7
          -5           4
          -4           7
           1         -19
          -4          -4
           3          17
           3          18
           8          -2
          -5           3
           0         -19
           4          12
           5          17
           4         -19
          -2         -12
           3          19
           6         -12
           8          -3
          10           8
          -6           4
           5          18
           7         -12
           4          19
           8         -12
          11           8
           3         -20
          -3         -12
          -3         -11
          -5           2
           9          -2
          12           8
           1         -20
           5          19
           4         -20
          -4         -11
          -3         -13
          10          -2
           0         -20
          -1         -19
           9         -12
           0         -21
           8          10
           0         -22
          -1         -22
           4          20
          -3         -16
           3          13
          -6           5
          -6           2
           6          19
          10          -3
           6          20
          10         -12
          13           8
           2          13
          -6           6
           7          19
          -7           2
           4         -21
           2          19
          -4           8
           1          19
           0          19
           4         -18
          -6           7
           4         -16
          -7           7
          10          -4
           3         -21
          -1          19
          -8           7
          -8           2
           1         -22
           8          19
          -2         -22
          13           9
          -4         -10
          -1          18
           1          20
           3         -22
           3         -23
          -3         -22
           1          21
           0          18
           2         -23
          -8           3
          -8           8
          -3         -15
          -6          -2
           8          18
          14           9
          -9           3
           9          19
          -4         -16
           7         -13
           8          17
          -3         -23
           5         -21
           1         -23
         -10           3
          -3         -21
          -4         -22
           1         -24
           0          21
          10          -1
           1         -25
           1         -26
          11          -4
           9          20
         -10           2
          10           4
          -8           9
          11         -12
         -10           1
           5         -18
           7          13
          -2          19
          -3         -17
          11         -11
           4          21
         -10           0
           6          21
           5         -22
           5         -23
          -3         -24
          10          20
          -3          19
          -1           5
          14           8
          10          21
           0         -25
           0         -26
          -4         -17
          -5         -17
          -3          20
           9          21
           8          21
          -6         -17
           3          21
          -3          -8
           3          22
          -6         -18
          11          -5
          -7           9
          10           0
           3          23
          -4          20
          11          21
          -5         -10
           2         -25
          12          21
           6         -23
          11          -3
          -5          20
          13          10
          -4          21
          -1         -23
          -5          21
          -4         -23
           3         -25
          14          10
           2          23
           3          24
           7         -23
          -9           8
           4          24
          15           8
         -11           1
         -10           4
           4          25
         -11           3
           9          22
          12          20
           2          24
          12         -11
          -6         -10
           6          22
          -8          10
           2          22
          -7          -2
          -7         -18
          -5         -23
          12          22
          -3         -25
          -5         -16
           8         -23
          13           7
           9         -23
          11          -6
          12          23
          10         -13
          12          24
          12          19
          -1         -26
         -10           5
           8         -24
          -8         -18
          15           9
          10         -23
          -5          22
          -5          23
           4         -25
          10         -24
          -6          -3
          -3          21
          -8          -2
          11          -7
           8          16
           9         -24
          12          18
          -6          23
         -12           1
          13          22
         -10           8
          11         -13
          11         -14
           0         -27
          -2         -26
          -5          24
           4          26
          14          22
           4          27
          -4         -25
          -9         -18
          12          25
         -13           1
          14          21
           9         -25
          12          -5
           2         -26
          16           9
           0         -28
          11          -2
          -9         -17
           5          24
           3         -26
          15          22
          14          20
          13         -11
          -5         -24
          11         -23
          15          20
          17           9
         -14           1
          -1         -27
          -6          24
           5          26
          18           9
          -5          25
          12         -23
          11           0
          12         -24
          -5          26
          -7          23
           2          25
          -5         -22
          -8          11
          12          10
          13           6
          10          22
           8          22
