           0           0
           0           1
          -1           0
           1           0
           0          -1
           1          -1
           0           2
          -1          -1
          -1           1
           1           1
           0          -2
           0          -3
           0           3
           2           0
           0          -4
          -2          -1
           3           0
          -2           0
          -3           0
           1          -4
          -4           0
          -1          -2
           4           0
           5           0
           0           4
           1           3
           0          -5
           1           4
          -5           0
           1          -2
           0          -6
           0           5
           2           1
           6           0
          -6           0
          -1          -4
           7           0
           8           0
           0           6
          -7           0
          -6          -1
           0           7
           6           1
          -1           2
          -7          -1
           9           0
          -3          -1
           1           6
          -8           0
           1          -5
           0           8
           2           3
          -6           1
           0          -7
           1           2
          -9           0
           0          -8
          10           0
          -2           2
          -8          -1
          -4           1
          -8          -2
          -1           3
           0           9
          11           0
          -2           1
          11          -1
           0          10
          12           0
           0          -9
           6           2
           0         -10
           4          -1
          -1          10
           4          -2
         -10           0
          -9           1
           2           4
           1          -3
           0          11
          12           1
           3           3
           1           7
          -6          -2
          -2           3
         -11           0
          -1           7
           0          12
          -9           2
           1          -6
           0          13
           1         -10
          -1         -10
           1         -11
          -1         -11
           6           3
         -11          -1
          -3          -2
           7          -1
           4           3
          -2           7
           2           7
          -1          13
         -10          -1
          12          -1
           0         -11
          -6           2
          12          -2
           9           1
           2          -4
           6           4
           1          13
          -3           3
          -2         -10
          -2          13
          -9           3
         -12           0
          11           1
          13           1
          14           1
         -13           0
         -10           1
           6           5
          15           1
          -1          11
          -4          -1
           0          14
           1          -7
         -13           1
         -10          -2
           2           2
          -5          -2
          -4           3
          -3          -3
           0         -12
           1          -9
           0         -13
           1         -13
           0          15
           0         -14
          15           0
           2          13
          10           1
          -1          -6
         -10           3
          -1          -3
          10           2
          16           1
           1          14
         -11          -2
          15          -1
         -13          -1
          -2           8
           5           5
           1         -14
           4           4
         -14           1
          16           2
          13          -2
           0          16
          -1           4
           0          17
          12           2
           2          -5
          -3           8
          -9           4
           0         -15
          -1           6
           8           1
         -10          -3
          -2          -2
          10           3
           3          -4
          -1          15
         -14           0
          16           0
           2          -6
          -5           1
          12          -3
          16          -1
          17           2
           6           6
          -1         -15
           0         -16
           1          16
           2          -9
           2          -1
         -14           2
           4          -4
         -15           0
          -8          -3
          -4          -2
          -2           4
           3          -1
           2          -2
         -15          -1
         -16           0
          17           0
           2         -14
          12           3
          13           3
          -1          -8
          -1         -14
           1         -12
          11           2
         -16           1
          -2          11
           5          -4
          -8          -4
           1          17
           0          18
           2         -15
          14          -2
           0          19
         -14           3
           0          20
         -17           0
          -3           1
           0          21
          -4           4
          -1          21
           0          22
           0         -17
          -2          -4
           3         -15
           1         -17
          16           3
          18           0
           7          -2
           1          15
           1          18
          -8          -5
           0          23
          -1         -12
          16          -2
          19           0
          -1          17
          -4           8
           1         -18
          19          -1
         -13           3
         -16          -1
           0         -18
         -17           1
          14           0
           0         -19
           2          16
         -11          -3
         -17          -1
         -12          -3
           2         -18
          20          -1
          -2          -8
         -16           2
          20           0
          18           1
           6          -4
           0          24
          -1         -19
          21          -1
           9           3
         -15           3
          22          -1
          12           4
          21           0
           4           1
           3          -6
          -3         -10
          14          -3
          -6           3
         -13           4
          -4           9
          18           2
          -3           2
          12           5
          18           3
          -9           5
          -2          17
         -13           5
           4         -15
           1          23
           0         -20
         -15           4
           7          -3
          -9          -5
           0          25
          -1          12
           3          -9
         -10          -4
          14          -1
          16          -3
          18          -1
          -1          25
           0         -21
           2          17
           3          -7
         -18          -1
          -9          -4
          -9          -1
         -17          -2
           1         -21
          22           0
          13           4
           1         -22
           1          25
         -15           5
           0         -22
         -16           3
         -18           0
           2          12
          -4           7
          -2         -12
          -4         -10
          -8          -6
          18           4
           1          20
          23           0
          -1         -16
           6           7
          20          -2
         -12          -4
          -7           1
           7          -4
           2         -11
           4         -16
          -2         -19
          -3          17
         -11          -4
           0         -23
          -1          22
          21          -2
          -3          -9
          -1         -17
          -3         -12
          22          -2
         -19           0
         -17          -3
          -5           7
          23          -2
           2          25
          -1         -22
          -7          -2
          -2         -22
         -17          -4
          -1         -23
           0         -24
           2         -21
          12           6
          -2          16
          17           3
         -18          -4
         -18           1
          -1         -13
         -11          -5
           7           6
           3          25
          17           1
         -17          -5
           1         -16
          21           1
          -3         -13
           0          26
         -13           6
         -13          -4
          18          -2
         -19          -1
           6           8
          -5           8
          23          -3
          24          -2
          25          -2
          18           5
          -9           6
          -4         -13
